rank,title,artist,release,summary,metascore,userscore
147,Long Lost,Lord Huron,"May 21, 2021",The fourth full-length release for the Los Angeles-based indie folk band features a duet with Allison Ponthier.,88,8.7
148,Loud City Song,Julia Holter,"August 20, 2013","The third full-length release for the Los Angeles artist was influenced in part by the film ""Gigi.""",88,8.4
149,Charity Starts at Home,Phonte,"September 27, 2011","The latest album for the rapper who also is a member of Little Brother and The Foreign Exchange features guest appearances by 9th Wonder, Big K.R.I.T., Evidence, Elzhi, and Pharoahe Monch.",88,7.9
150,Bad as Me,Tom Waits,"October 25, 2011",The latest album for the singer-songwriter is the first album of all new songs since 2004's Real Gone.,88,7.9
151,A Moon Shaped Pool,Radiohead,"May 8, 2016",This is the surprise release of the ninth full-length studio album from the British rock band. A physical release is scheduled for 17 Jun 2016.,88,8.9
152,Masseduction,St. Vincent,"October 13, 2017","The fifth full-length release for the Grammy-winning singer-songwriter was co-produced with Jack Antonoff and features contributions from Tuck & Patti Andress, Thomas Bartlett, Rich Hinman, Greg Leisz, Jenny Lewis, Sounwave, and Kamasi Washington.",88,8.8
153,Accelerando,Vijay Iyer Trio,"March 13, 2012","The third album from pianist Vijay Iyer with bassist Stephen Crump and drummer Marcus Gilmore includes several original compositions as well as cover songs from jazz, disco, R&B, and electronic music.",88,7.0
154,Saint Cloud,Waxahatchee,"March 27, 2020",The fifth full-length release for the indie music project of Katie Crutchfield was produced by Brad Cook.,88,7.8
155,"Dear Science,",TV on the Radio,"September 23, 2008",The fourth album for the New York band was produced by Dave Sitek.,88,8.9
156,Sometimes I Might Be Introvert,Little Simz,"September 3, 2021",The fourth full-length release for the British rapper was produced by Inflo and features guest appearances from Obongjayar and Cleo Sol.,88,8.9
157,Return To Cookie Mountain,TV on the Radio,"September 12, 2006",David Bowie guests on the highly-anticipated second LP (and major-label debut) from the distinctive NYC band.,88,8.1
158,Call Me If You Get Lost,"Tyler, The Creator","June 25, 2021","The sixth full-length studio release for the rapper features guest appearances from 42 Dugg, Daisy World, Domo Genesis, Brent Faiyaz, Fana Hues, Lil Uzi Vert, Lil Wayne, NBA YoungBoy, Teezo Touchdown, Ty Dolla $ign, and Pharrell Williams.",88,8.8
159,"Sometimes I Sit And Think, And Sometimes I Just Sit",Courtney Barnett,"March 24, 2015",This is the debut full-length release for the Australian indie singer-songwriter.,88,8.5
160,Run the Jewels 3,Run the Jewels,"December 25, 2016","Available as a free download, the third LP (not including cat-related material) from the duo of El-P and Killer Mike includes contributions from Danny Brown, Zack de la Rocha, Tunde Adebimpe (TV on the Radio), Boots, and Kamasi Washington. Originally scheduled for release in January 2017, it arrived as a surprise on Christmas Day in 2016.",88,8.8
161,Persona,Rival Consoles,"April 13, 2018",The latest release for the British electronic artist was inspired by Ingmar Bergman's film of the same name.,88,7.8
162,POST-,Jeff Rosenstock,"March 23, 2018","The third full-length solo release for the Long Island singer-songwriter features contributions from Chris Farren, Dan Potthast, PUP, Laura Stevenson, and Antarctigo Vespucci.",88,7.8
163,Up In Flames,Caribou,"April 8, 2003","The second LP from Canadian electronic artist Dan Snaith is more song-oriented (and quite a bit more psychedelic) than efforts from similar artists, with Snaith even providing vocals on some tracks. [This release was originally credited under the name Manitoba before being re-released under the name Caribou after the name change]",88,8.5
164,Wicked Grin,John Hammond,"March 13, 2001",Tom Waits produced the album and wrote 12 of the 13 tracks.,88,7.8
165,"Stories from the City, Stories from the Sea",PJ Harvey,"October 24, 2000","PJ Harvey's fifth, and possibly best, album sees her venturing away from the electronic experimentation of 1998's 'Is This Desire?' and returning to the purer rock sound prevalent on her early releases. Radiohead's Thom Yorke guests on the duet ""This Mess We're In."" Winner of the 2001 Mercury Music Prize.",88,8.9
166,Heaven to a Tortured Mind,Yves Tumor,"April 3, 2020",The fourth full-length studio release for Sean Bowie as Yves Tumor was co-produced by Justin Raisen.,88,8.2
167,Alfredo,Freddie Gibbs,"May 29, 2020","The latest collaboration between Freddie Gibbs and The Alchemist features guest appearances from Benny the Butcher, Conway the Machine, Rick Ross, and Tyler, The Creator.",88,8.6
168,That's the Spirit,Bring Me the Horizon,"September 11, 2015",The fifth full-length studio release for the British metal band was produced by band members Oli Sykes and Jordan Fish.,88,7.1
169,Black America Again,Common,"November 4, 2016","The 11th full-length studio release for the hip hop artist features guest appearances from Marsha Ambrosius, Bilal, BJ the Chicago Kid, Tasha Cobbs, John Legend, PJ, Syd tha Kyd, and Stevie Wonder.",88,7.3
170,Destroyer's Rubies,Destroyer,"February 21, 2006","Dan Bejar's seventh Destroyer record is as lyrically dense as ever, but marks a shift to a full-band, guitar-oriented sound after 2004's more eclectic 'Your Blues.'",88,8.0
171,Designer,Aldous Harding,"April 26, 2019",The third full-length release for the New Zealand singer-songwriter was produced by John Parish.,88,8.3
172,Magdalene,FKA twigs,"November 8, 2019",The second full-length studio release for the British experimental R&B artist Tahliah Barnett features a guest appearance from Future.,88,8.9
173,Where Shall You Take Me,Damien Jurado,"March 18, 2003","The fifth full-length for the Seattle-based singer-songwriter returns with ten new mostly-acoustic tales about America's heartland, including live favorite ""Texas to Ohio.""",88,8.4
174,Letter to You,Bruce Springsteen,"October 23, 2020",The 20th full-length studio release for the rock artist was recorded over five days with the E Street Band and producer Ron Aniello.,88,8.4
175,Undun,The Roots,"December 6, 2011","The 13th studio album is a concept album about the life of Redford Stephens, a fictional character who gets involved with drugs.",88,8.8
176,From A Basement On The Hill,Elliott Smith,"October 19, 2004",The late singer-songwriter was nearly done with this highly anticipated album at the time of his death in 2003.,88,8.9
177,Rejoicing In The Hands,Devendra Banhart,"May 4, 2004",The second LP from the New York-based artist/musician/crazy hippie Devendra Banhart (who studied at the San Francisco Art Institute) includes 16 of the 32 lo-fi tracks recorded in the living room of veteran recording engineer Lynn Bridges. The remaining 16 will be released on a separate album later in 2004.,88,8.4
178,Vespertine,Björk,"August 28, 2001","Bjork's follow-up to 1997's 'Homogenic' and last year's soundtrack to Dancer In The Dark is closer in sound and mood to the latter, taking a quieter, more ambient approach. Produced by San Francisco-based electronic artists Matmos, 'Vespertine' utilizes mainly electronic instrumentation, much of which was recorded by Bjork in Iceland. The lead single is ""Hidden Place.""",88,9.0
179,Jubilee,Japanese Breakfast,"June 4, 2021",The third full-length release for Michelle Zauner was inspired in part by Bjork's Homogenic and Wilco's Summerteeth.,88,8.8
180,The Blueprint,Jay-Z,"September 11, 2001",The now-legendary Brooklyn rapper follows 2000's 'The Dynasty Roc la Familia' with this 13-track disc.,88,8.7
181,Nine,Sault,"June 25, 2021",The fourth full-length release for the UK group is only available online for 99 days and features guest appearances from Little Simz and Michael Ofo.,88,8.0
182,From Kinshasa,Mbongwana Star,"May 19, 2015","After leaving Staff Benda Bilili in 2013, Coco Ngambali and Theo Nsituvuidi started a new group and released this debut release produced by Liam ""Doctor L"" Farrell.",88,5.3
183,In Rainbows,Radiohead,"October 10, 2007",Radiohead releases their latest with a pay-what-you-want price.,88,9.0
184,The Woods,Sleater-Kinney,"May 24, 2005","The ubiquitous Dave Fridmann produced this latest outing for the veteran indie rockers, their first album for Sub Pop.",88,8.4
185,Lonerism,Tame Impala,"October 9, 2012","The second release for the Perth, Australian band led by Kevin Parker was co-produce with Dave Fridmann.",88,8.9
186,Kill The Moonlight,Spoon,"August 20, 2002","The Austin, Tex. indie rockers return with their fourth album, following 2001's critically acclaimed 'Girls Can Tell.'",88,8.8
187,Monoliths & Dimensions,Sunn O))),"May 26, 2009","The metal band worked with composer Eyvind Kang on its seventh album, which features Australian guitar player Oren Ambarchi, vocalists Attila Csihar, Jessika Kenney, Earth's Dylan Carlson, and trombonists Julian Priester and Stuart Dempster as guest artists.",88,6.8
188,Jaime,Brittany Howard,"September 20, 2019","The debut full-length solo release for the Alabama Shakes frontwoman features contributions from Zac Cockrell, Shawn Everett, Robert Glasper, and Nate Smith.",88,7.9
189,Bandana,Freddie Gibbs,"June 28, 2019","The second full-length studio collaboration between Freddie Gibbs and Madlib features guest appearances from Anderson .Paak, Yasiin Bey, Black Thought, Killer Mike, and Pusha T.",88,8.6
190,Foundations of Burden,Pallbearer,"August 19, 2014",The second full-length release for the doom metal band was produced by Billy Anderson.,88,8.0
191,The Graceless Age,John Murry,"April 9, 2013","Co-produced with Tim Mooney, the debut full-length release for the San Francisco-based, Mississippi-born singer-songwriter speaks of his struggle against dug addiction.",88,8.5
192,Crown and Treaty,Sweet Billy Pilgrim,"April 16, 2012","The third full-length release for the British rock band is its first since adding American Jana Carpenter to the group and winning a Mercury Prize for its 2009 album, Twice Born Men.",88,tbd
193,All We Love We Leave Behind,Converge,"October 9, 2012",This is the eigth studio release from the Boston metalcore band led by Kurt Ballou.,88,8.8
194,Joy As an Act of Resistance,Idles,"August 31, 2018",The second full-length release for the British punk band was produced by Space and mixed by Adam Greenspan and Nick Launay.,88,8.3
195,Art Angels,Grimes,"December 11, 2015",The fourth full-length release for the Canadian artist was self-produced and features guest appearances from Aristophanes and Janelle Monáe.,88,8.9
196,Dawn FM,The Weeknd,"January 7, 2022","The sixth full-length studio release for The Weeknd features guest appearances from Jim Carrey, Lil Wayne, and Tyler, the Creator as well as contributions from Oscar Holter, Quincy Jones, Max Martin, and Oneohtrix Point Never.",88,9.2
197,Black Tambourine,Black Tambourine,"March 30, 2010","The compilation, which includes six unreleased songs, as well as tracks released earlier on 1999's ""Complete Recordings,"" for the Washington, D.C.-area indie pop band which was originally formed as a side project for members of Whorl and Velocity Girl with Pam Berry as the lead singer.",88,7.5
198,Abattoir Blues / The Lyre Of Orpheus,Nick Cave & the Bad Seeds,"October 26, 2004","Nick Cave & The Bad Seeds' 13th album actually spans two separate discs, each produced by Nick Launay. And speaking of the Bad Seeds, longtime member Blixa Bargeld has been replaced by James Johnston (Gallon Drunk).",88,8.8
199,I Am A Bird Now,Antony and the Johnsons,"February 1, 2005","The androgynous singer Antony is backed by the likes of Lou Reed, Devendra Banhart, Boy George and Rufus Wainwright on his sophomore release.",88,8.3
200,Fishscale,Ghostface Killah,"March 28, 2006","MF Doom, Madlib and Pete Rock lend their production talents to the Wu-Tang member's fifth solo outing, which includes a collaboration with Ne-Yo.",88,8.7
201,No Devolucion,Thursday,"April 12, 2011","The punk rock band from New Jersey, credited as one of the first bands to give birth to the genre of emo, celebrates 10 years with a new release.",88,8.6
